Text: 1403/05/28, Probability: 0.7836
Text: iPhone 13 Pro Max, Probability: 0.7772
Text: Apple rونiمal Products, Probability: 0.2584
Text: نروزه, Probability: 0.7378
Text: کتی, Probability: 0.4387
Text: دروزه, Probability: 0.9615
Text: Blach, Probability: 0.3455
Text: LLA, Probability: 0.6722
Text: 1SIm, Probability: 0.5378
Text: 99000, Probability: 0.5477
Text: 99500, Probability: 0.9964
Text: AirPods Max, Probability: 0.6341
Text: Black, Probability: 0.4699
Text: ٩, Probability: 0.2492
Text: B١u٤, Probability: 0.3942
Text: G٢٤٤٨, Probability: 0.8345
Text: Ca٨ ., Probability: 0.2988
Text: call.٠٠, Probability: 0.3741
Text: G0|d, Probability: 0.4408
Text: ٧٧٥, Probability: 0.1081
Text: 1Si٨, Probability: 0.6426
Text: AirPods Pro ?n Generation (USB CIran, Probability: 0.1159
Text: 18Mou0, Probability: 0.3892
Text: 11700, Probability: 0.9592
Text: 11850, Probability: 0.9942
Text: 1T8, Probability: 0.5601
Text: ٢-, Probability: 0.0420
Text: LLIA 1Sim, Probability: 0.5532
Text: AirPods FIO SIU Generation (USB clتsأ, Probability: 0.0923
Text: Mount, Probability: 0.6938
Text: 11500, Probability: 0.9999
Text: 11650, Probability: 0.9998
Text: Bluc, Probability: 0.3737
Text: LUA 1Sim, Probability: 0.3642
Text: AIrPods رذd Generation, Probability: 0.3086
Text: ا٠ت ی ٠{١4, Probability: 0.0017
Text: ٨٥٦, Probability: 0.1268
Text: Moun, Probability: 0.1130
Text: 8900, Probability: 0.9992
Text: 9050, Probability: 0.8850
Text: Black, Probability: 0.9924
Text: L٧A, Probability: 0.3612
Text: 1Sim, Probability: 0.9972
Text: 97000, Probability: 0.9999
Text: 97500, Probability: 0.9999
Text: AIrPods lu Generation Lighining بن, Probability: 0.1605
Text: Mount, Probability: 0.5440
Text: Gold, Probability: 0.2799
Text: L٧A, Probability: 0.3266
Text: 1Sim, Probability: 0.8375
Text: AirPods لبراد Generation  Lightning, Probability: 0.3318
Text: 184000, Probability: 0.2691
Text: 8400, Probability: 0.9996
Text: 8550, Probability: 0.9994
Text: 512G8, Probability: 0.9028
Text: LL/A, Probability: 0.3932
Text: 1Sim, Probability: 0.8768
Text: Airpods Jru Generation Lightning, Probability: 0.5384
Text: Mo٧nt, Probability: 0.3358
Text: 8250, Probability: 0.9998
Text: 8400, Probability: 0.9998
Text: ٥١٧٤, Probability: 0.4660
Text: LUA 1Sim, Probability: 0.1835
Text: Airpods 3id Generalion  Lighining, Probability: 0.4205
Text: Black, Probability: 0.9963
Text: L٧A, Probability: 0.4811
Text: 1Sim, Probability: 0.9818
Text: Airpods znd Generation, Probability: 0.4165
Text: 18M0003, Probability: 0.2466
Text: 5900, Probability: 0.9992
Text: 6000, Probability: 0.9999
Text: Gold, Probability: 0.8593
Text: L٧٥, Probability: 0.2511
Text: 1SiI, Probability: 0.5264
Text: Alrpods Gnd Generation, Probability: 0.1130
Text: 6Mlo0nt, Probability: 0.0269
Text: 5450, Probability: 0.9995
Text: 5600, Probability: 0.9970
Text: 256G3, Probability: 0.5640
Text: LL4, Probability: 0.3107
Text: 1Sتm, Probability: 0.3819
Text: Airpods Auu Gen٤ration, Probability: 0.0184
Text: 5300, Probability: 0.9994
Text: 5400, Probability: 0.9898
Text: B١u٤, Probability: 0.2808
Text: LUA 1Sim, Probability: 0.8262
Text: Apple Pencil znu Generallon, Probability: 0.1113
Text: 5950, Probability: 0.9990
Text: 6050, Probability: 0.9768
Text: Black, Probability: 0.6031
Text: LLA, Probability: 0.9980
Text: 1Si8, Probability: 0.2730
Text: Apple Pencil MeU IUSB G, Probability: 0.1171
Text: 607, Probability: 0.1208
Text: L٧, Probability: 0.4503
Text: 1Sim, Probability: 0.8783
Text: ApPle Pencil 1s, Probability: 0.2824
Text: 256G8, Probability: 0.7764
Text: LUA 1Sim, Probability: 0.7852
Text: 2UW USB c Power Adapter 3PIn BfA, Probability: 0.1663
Text: n٤٧, Probability: 0.5754
Text: GMount, Probability: 0.6713
Text: 1350, Probability: 0.9999
Text: 1400, Probability: 0.9975
Text: B١u٤, Probability: 0.1103
Text: LUA 1Sim, Probability: 0.4853
Text: Explore Apple Watch, Probability: 0.8697
Text: iPhone 13 Pro, Probability: 0.6340
Text: نقدء, Probability: 0.6647
Text: ذ١ وز٥, Probability: 0.1726
Text: دروز, Probability: 0.9573
Text: Watch U: ج, Probability: 0.1131
Text: 4, Probability: 0.0241
Text: ٩    ٠١ , Probability: 0.0080
Text: Blue Ocean, Probability: 0.9953
Text: 42200, Probability: 1.0000
Text: 42500, Probability: 0.9999
Text: Blach, Probability: 0.5601
Text: LUA, Probability: 0.9217
Text: 1Sim, Probability: 0.9498
Text: Watch U7ر >, Probability: 0.0112
Text: لنن, Probability: 0.0022
Text: طُت ح دذی, Probability: 0.0003
Text: Orange Ocean, Probability: 0.9310
Text: 42200, Probability: 0.9999
Text: 42500, Probability: 0.9998
Text: T8, Probability: 0.3048
Text: Gold, Probability: 0.5787
Text: LLA, Probability: 0.9636
Text: 1Sim, Probability: 0.9395
